id,symbol,headline,summary,catalyst_type,positive,confirmed,confidence,reason,trade_result,pnl_pct,created_at,premarket_gap_pct,pre_open_pct,midday_pct,eod_pct,detection_price,premarket_checked_at,eod_checked_at,features
00000000,HHH,Synthetic MA headline #0,,MA,true,false,95,,,,2026-01-02 14:00:00+00,-0.29,0.62,2.14,2.66,96.73,,,"{""rsi"": 56.8, ""rvol"": 1.52, ""gap_pct"": 5.03, ""spy_regime"": 1}"
00000001,AAA,Synthetic MA headline #1,,MA,false,false,0,blocked: low confidence,,,2026-01-02 21:00:00+00,0.35,-0.47,4.3,10.28,131.82,,,"{""rsi"": 56.9, ""rvol"": 1.37, ""gap_pct"": -0.87, ""spy_regime"": 1}"
00000002,AAA,Synthetic CLINICAL_TRIAL headline #2,,CLINICAL_TRIAL,false,false,0,blocked: low confidence,,,2026-01-03 04:00:00+00,-1.16,-1.41,-1.33,-2.47,41.48,,,"{""rsi"": 34.0, ""rvol"": 2.12, ""gap_pct"": 3.56, ""spy_regime"": 1}"
00000003,BBB,Synthetic OTHER headline #3,,OTHER,false,false,20,blocked: low confidence,,,2026-01-03 11:00:00+00,-3.14,1.7,-0.1,-0.17,104.04,,,"{""rsi"": 21.8, ""rvol"": 3.6, ""gap_pct"": 5.05, ""spy_regime"": 1}"
00000004,BBB,Synthetic CONTRACT headline #4,,CONTRACT,false,false,0,blocked: low confidence,,,2026-01-03 18:00:00+00,-1.22,-0.4,1.62,2.2,95.59,,,"{""rsi"": 78.8, ""rvol"": 2.69, ""gap_pct"": 6.38, ""spy_regime"": 1}"
00000005,HHH,Synthetic CLINICAL_TRIAL headline #5,,CLINICAL_TRIAL,true,true,60,,,,2026-01-04 01:00:00+00,1.12,1.73,0.94,1.5,51.54,,,"{""rsi"": 26.1, ""rvol"": 0.83, ""gap_pct"": -1.5, ""spy_regime"": 1}"
00000006,EEE,Synthetic CLINICAL_TRIAL headline #6,,CLINICAL_TRIAL,true,true,40,,,,2026-01-04 08:00:00+00,0.4,-0.0,1.53,3.11,44.93,,,"{""rsi"": 36.2, ""rvol"": 5.84, ""gap_pct"": 2.1, ""spy_regime"": 1}"
00000007,EEE,Synthetic EARNINGS headline #7,,EARNINGS,false,false,20,blocked: low confidence,,,2026-01-04 15:00:00+00,-0.59,0.39,1.39,2.76,53.88,,,"{""rsi"": 66.4, ""rvol"": 2.31, ""gap_pct"": -0.14, ""spy_regime"": 1}"
00000008,CCC,Synthetic MA headline #8,,MA,false,false,0,blocked: low confidence,,,2026-01-04 22:00:00+00,0.85,-0.71,-1.81,-3.79,28.06,,,"{""rsi"": 55.2, ""rvol"": 5.08, ""gap_pct"": 3.07, ""spy_regime"": 1}"
00000009,BBB,Synthetic CONTRACT headline #9,,CONTRACT,true,false,55,,,,2026-01-05 05:00:00+00,-0.82,0.33,-0.26,-0.63,41.73,,,"{""rsi"": 77.0, ""rvol"": 5.35, ""gap_pct"": -7.11, ""spy_regime"": 1}"
00000010,BBB,Synthetic CLINICAL_TRIAL headline #10,,CLINICAL_TRIAL,true,false,55,,,,2026-01-05 12:00:00+00,1.6,1.22,-0.24,-0.33,120.5,,,"{""rsi"": 37.6, ""rvol"": 1.46, ""gap_pct"": 5.58, ""spy_regime"": 1}"
00000011,DDD,Synthetic ANALYST_UPGRADE headline #11,,ANALYST_UPGRADE,false,false,20,blocked: low confidence,,,2026-01-05 19:00:00+00,1.16,0.35,1.21,2.08,150.55,,,"{""rsi"": 24.1, ""rvol"": 2.76, ""gap_pct"": 6.48, ""spy_regime"": 1}"
00000012,CCC,Synthetic CONTRACT headline #12,,CONTRACT,true,false,40,,,,2026-01-06 02:00:00+00,-3.83,-1.82,5.54,8.69,132.42,,,"{""rsi"": 61.5, ""rvol"": 3.71, ""gap_pct"": -5.33, ""spy_regime"": 1}"
00000013,BBB,Synthetic EARNINGS headline #13,,EARNINGS,false,true,60,blocked: low confidence,,,2026-01-06 09:00:00+00,2.24,0.86,0.09,0.11,16.25,,,"{""rsi"": 38.7, ""rvol"": 1.25, ""gap_pct"": -0.69, ""spy_regime"": 1}"
00000014,AAA,Synthetic ANALYST_UPGRADE headline #14,,ANALYST_UPGRADE,true,false,40,,,,2026-01-06 16:00:00+00,1.71,-1.48,-2.59,-3.63,180.46,,,"{""rsi"": 72.3, ""rvol"": 2.79, ""gap_pct"": 3.66, ""spy_regime"": 1}"
00000015,FFF,Synthetic MA headline #15,,MA,false,true,0,blocked: low confidence,,,2026-01-06 23:00:00+00,-2.49,1.58,1.08,1.57,25.77,,,"{""rsi"": 35.4, ""rvol"": 2.79, ""gap_pct"": 0.57, ""spy_regime"": 1}"
00000016,BBB,Synthetic MA headline #16,,MA,false,false,20,blocked: low confidence,,,2026-01-07 06:00:00+00,-2.76,0.04,0.0,0.0,121.45,,,"{""rsi"": 48.9, ""rvol"": 1.77, ""gap_pct"": -0.74, ""spy_regime"": 1}"
00000017,HHH,Synthetic ANALYST_UPGRADE headline #17,,ANALYST_UPGRADE,false,true,0,blocked: low confidence,,,2026-01-07 13:00:00+00,-1.49,0.01,-1.14,-1.9,42.91,,,"{""rsi"": 30.2, ""rvol"": 5.48, ""gap_pct"": 4.29, ""spy_regime"": 1}"
00000018,HHH,Synthetic CONTRACT headline #18,,CONTRACT,false,true,85,blocked: low confidence,,,2026-01-07 20:00:00+00,-2.52,2.57,1.8,4.28,117.87,,,"{""rsi"": 39.0, ""rvol"": 1.25, ""gap_pct"": -2.02, ""spy_regime"": 1}"
00000019,HHH,Synthetic EARNINGS headline #19,,EARNINGS,false,true,60,blocked: low confidence,,,2026-01-08 03:00:00+00,-1.49,-2.1,-1.36,-1.66,45.17,,,"{""rsi"": 44.8, ""rvol"": 3.94, ""gap_pct"": 0.73, ""spy_regime"": 1}"
